Year,निर्वाचित पद,जनपद,घोषित परिणाम,निर्विरोध निर्वाचित,विकास खण्‍ड,ग्राम पंचायत,आरक्षण स्थिति,विजयी प्रत्‍याशी का नाम,चुनाव चिन्‍ह,प्राप्‍त मत,प्रथम रनर अप प्रत्‍याशी का नाम,चुनाव चिन्‍ह.1,प्राप्‍त मत.1,मतों का अन्‍तर,क्षेत्र पंचायत वाडॅ,जिला पंचायत वाडॅ,क्रमांक,अभ्‍यर्थी का नाम,पिता/पति का नाम,चुनाव चिन्‍ह.2,प्राप्‍त मत.2
2010,प्रधान (ग्राम पंचायत) ,हरिद्वार,314,1,बहादराबाद,औरंगाबाद,महिला,सन्‍तोष,आईस्‍क्रीम,954,नीलम चौहान,अनाज की बालियां,842,112,,,1,नीलम चौहान,चरण सिंह,अनाज की बालियां,842
2010,प्रधान (ग्राम पंचायत) ,हरिद्वार,314,1,बहादराबाद,औरंगाबाद,महिला,सन्‍तोष,आईस्‍क्रीम,954,नीलम चौहान,अनाज की बालियां,842,112,,,2,रूबी,अरविन्‍द,अनानास,432
2010,प्रधान (ग्राम पंचायत) ,हरिद्वार,314,1,बहादराबाद,औरंगाबाद,महिला,सन्‍तोष,आईस्‍क्रीम,954,नीलम चौहान,अनाज की बालियां,842,112,,,3,सन्‍तोष,जयपाल सिंह,आईस्‍क्रीम,954
2010,प्रधान (ग्राम पंचायत) ,हरिद्वार,314,1,बहादराबाद,खालाटीरा,अन्य पि0वर्ग,सुरेन्‍द्र सिंह,कार,593,वेदपाल सिंह,इमली,451,142,,,1,अमर जीत सिंह,किरण सिंह,अनाज की बालियां,3
2010,प्रधान (ग्राम पंचायत) ,हरिद्वार,314,1,बहादराबाद,खालाटीरा,अन्य पि0वर्ग,सुरेन्‍द्र सिंह,कार,593,वेदपाल सिंह,इमली,451,142,,,2,कान्‍ता देवी,मेघपाल सिंह,अनानास,14
2010,प्रधान (ग्राम पंचायत) ,हरिद्वार,314,1,बहादराबाद,खालाटीरा,अन्य पि0वर्ग,सुरेन्‍द्र सिंह,कार,593,वेदपाल सिंह,इमली,451,142,,,3,चरण सिंह,नकली राम,आईस्‍क्रीम,356
2010,प्रधान (ग्राम पंचायत) ,हरिद्वार,314,1,बहादराबाद,खालाटीरा,अन्य पि0वर्ग,सुरेन्‍द्र सिंह,कार,593,वेदपाल सिंह,इमली,451,142,,,4,वेदपाल सिंह,केहर सिंह,इमली,451
2010,प्रधान (ग्राम पंचायत) ,हरिद्वार,314,1,बहादराबाद,खालाटीरा,अन्य पि0वर्ग,सुरेन्‍द्र सिंह,कार,593,वेदपाल सिंह,इमली,451,142,,,5,सुरेन्‍द्र सिंह,बिसम्‍बर सिंह,कार,593
2010,प्रधान (ग्राम पंचायत) ,हरिद्वार,314,1,बहादराबाद,खालाटीरा,अन्य पि0वर्ग,सुरेन्‍द्र सिंह,कार,593,वेदपाल सिंह,इमली,451,142,,,6,संजय सिंह,बिसम्‍बर सिंह,किताब,5
2010,प्रधान (ग्राम पंचायत) ,हरिद्वार,314,1,बहादराबाद,जसवावाला,अनु0जाति महिला,सुरेशना,कोट,570,शिक्षा,कैरम बोर्ड,412,158,,,1,अतर कली,अतर सिंह,अनाज की बालियां,50
